City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Windspeed,Date
yerbogachen,ru,61.28,108.01,57.25,8.0,54.0,3.0,1600225668.0
toamasina,mg,-18.17,49.38,62.6,40.0,93.0,3.36,1600225669.0
mana,gf,5.66,-53.78,75.61,72.0,92.0,5.19,1600225669.0
kovdor,ru,67.57,30.48,35.38,83.0,92.0,2.75,1600225669.0
wanning,cn,18.8,110.4,87.91,52.0,65.0,3.71,1600225669.0
maniitsoq,gl,65.42,-52.9,43.56,90.0,77.0,10.58,1600225679.0
narsaq,gl,60.92,-46.05,44.6,100.0,75.0,1.12,1600225679.0
labuhan,id,-6.88,112.21,87.35,100.0,48.0,3.0,1600225680.0
saint-georges,gf,12.06,-61.75,82.4,79.0,83.0,9.44,1600225680.0
whitianga,nz,-36.83,175.7,63.0,0.0,62.0,8.99,1600225680.0
koutiala,ml,12.39,-5.46,77.02,0.0,81.0,9.73,1600225680.0
san cristobal,ec,7.77,-72.22,67.86,100.0,90.0,2.13,1600225680.0
kabo,cf,7.7,18.63,70.12,94.0,97.0,1.81,1600225681.0
lukovetskiy,ru,64.3,41.92,39.2,8.0,93.0,2.24,1600225681.0
kalmunai,lk,7.42,81.82,83.91,44.0,66.0,3.8,1600225681.0
beatrice,us,40.27,-96.75,66.99,1.0,88.0,7.43,1600225681.0
ingham,au,42.6,-84.38,59.0,1.0,77.0,9.24,1600225681.0
puerto ayacucho,ve,5.66,-67.62,76.37,92.0,89.0,2.08,1600225682.0
snasa,no,64.25,12.38,43.2,100.0,87.0,8.03,1600225682.0
solton,ru,52.84,86.48,61.18,96.0,58.0,7.2,1600225682.0
arboletes,co,8.85,-76.43,79.23,100.0,84.0,8.48,1600225682.0
ushtobe,kz,45.25,77.98,77.95,95.0,21.0,14.05,1600225682.0
yingcheng,cn,30.95,113.55,75.2,40.0,88.0,4.47,1600225683.0
solwezi,zm,-12.17,26.39,65.93,69.0,49.0,3.65,1600225683.0
ascension,bo,30.22,-90.9,80.6,40.0,78.0,9.17,1600225683.0
wilmington,us,34.23,-77.94,71.6,1.0,78.0,10.29,1600225683.0
kingman,us,35.19,-114.05,88.0,1.0,15.0,9.17,1600225621.0
aripuana,br,-9.17,-60.63,74.95,20.0,29.0,1.01,1600225683.0
deer lake,ca,49.17,-57.43,41.0,5.0,86.0,5.82,1600225684.0
fort nelson,ca,58.81,-122.7,53.6,40.0,50.0,3.36,1600225684.0
andenes,no,69.31,16.12,39.2,81.0,86.0,4.7,1600225684.0
erenhot,cn,43.65,111.98,53.94,29.0,51.0,22.53,1600225462.0
sakakah,sa,29.97,40.21,84.2,0.0,13.0,4.7,1600225684.0
chumikan,ru,54.72,135.31,54.19,100.0,85.0,2.46,1600225695.0
palasa,in,18.77,84.42,85.84,41.0,73.0,1.68,1600225695.0
axim,gh,4.87,-2.24,75.09,100.0,89.0,10.89,1600225695.0
mabaruma,gy,8.2,-59.78,75.11,64.0,94.0,1.36,1600225695.0
saint-paul,re,-21.01,55.27,66.2,75.0,59.0,17.22,1600225695.0
anchorage,us,61.22,-149.9,53.6,90.0,76.0,1.5,1600225671.0
kuruman,za,-27.45,23.43,46.99,81.0,36.0,1.01,1600225651.0
buchanan,lr,5.88,-10.05,74.93,84.0,91.0,4.79,1600225696.0
ugoofaaru,mv,5.67,73.0,82.08,84.0,77.0,8.88,1600225706.0
port-cartier,ca,50.03,-66.87,33.8,5.0,68.0,2.24,1600225706.0
ust-ilimsk,ru,58.0,102.66,57.76,0.0,52.0,3.65,1600225716.0
tucuman,ar,-26.82,-65.22,59.0,2.0,54.0,5.82,1600225716.0
college,us,64.86,-147.8,60.8,75.0,41.0,5.82,1600225717.0
onoda,jp,34.0,131.18,77.0,75.0,78.0,9.17,1600225717.0
abastumani,ge,41.71,42.85,69.8,20.0,100.0,3.36,1600225717.0
san policarpo,ph,12.18,125.51,79.86,100.0,89.0,16.89,1600225717.0
hualmay,pe,-11.1,-77.61,59.88,64.0,84.0,8.03,1600225717.0
bako,et,5.78,36.57,65.3,80.0,70.0,4.34,1600225718.0
codrington,ag,-38.27,141.97,63.12,100.0,62.0,9.06,1600225718.0
monteagudo,bo,-19.82,-63.98,66.04,100.0,62.0,2.89,1600225718.0
kaohsiung,tw,22.62,120.31,91.4,40.0,66.0,10.29,1600225626.0
presidencia roque saenz pena,ar,-26.79,-60.44,54.12,68.0,91.0,5.93,1600225738.0
virginia beach,us,36.85,-75.98,69.8,75.0,60.0,6.93,1600225599.0
waingapu,id,-9.66,120.26,86.34,100.0,49.0,14.2,1600225739.0
harper,lr,4.38,-7.72,75.13,96.0,88.0,8.99,1600225739.0
mecca,sa,21.43,39.83,84.65,28.0,46.0,3.36,1600225481.0
snyder,us,32.72,-100.92,71.6,1.0,60.0,3.36,1600225739.0
vestmanna,fo,62.16,-7.17,41.0,1.0,100.0,1.12,1600225739.0
buturlino,ru,55.57,44.9,44.15,23.0,93.0,12.93,1600225739.0
plettenberg bay,za,-34.05,23.37,51.69,0.0,71.0,6.08,1600225739.0
shubarkuduk,kz,49.14,56.49,52.14,61.0,58.0,11.59,1600225740.0
dickinson,us,29.46,-95.05,87.01,75.0,58.0,8.05,1600225625.0
ambilobe,mg,-13.2,49.05,65.08,2.0,84.0,4.61,1600225740.0
cabo san lucas,mx,22.89,-109.91,84.0,5.0,83.0,14.99,1600225660.0
sharkan,ru,57.3,53.87,46.99,98.0,93.0,4.0,1600225740.0
simi,gr,9.57,-12.35,73.04,76.0,97.0,0.74,1600225740.0
anadyr,ru,64.75,177.48,51.8,75.0,71.0,13.42,1600225741.0
xinye,cn,32.52,112.35,83.1,87.0,57.0,2.21,1600225741.0
acapulco,mx,16.86,-99.89,82.4,75.0,83.0,2.24,1600225461.0
manggar,id,-2.88,108.27,84.18,46.0,68.0,13.18,1600225751.0
san quintin,mx,30.48,-115.95,76.77,0.0,55.0,8.86,1600225751.0
northam,au,51.03,-4.22,60.01,95.0,99.0,3.0,1600225751.0
tabou,ci,4.42,-7.35,74.91,94.0,88.0,9.24,1600225752.0
zhigansk,ru,66.77,123.37,49.68,0.0,61.0,8.08,1600225752.0
kirn,de,49.78,7.45,68.0,100.0,60.0,6.93,1600225752.0
inverell,au,-29.78,151.12,78.01,11.0,35.0,5.01,1600225752.0
luis correia,br,-2.88,-41.67,77.36,0.0,73.0,15.32,1600225752.0
komsomolets,ru,53.75,62.07,47.55,100.0,86.0,21.97,1600225763.0
sakaiminato,jp,35.55,133.23,78.8,75.0,61.0,6.93,1600225763.0
kuala pilah,my,2.74,102.25,82.4,20.0,78.0,2.3,1600225763.0
igarka,ru,67.47,86.58,53.65,6.0,75.0,11.14,1600225763.0
sosnovo-ozerskoye,ru,52.52,111.54,50.79,0.0,68.0,5.84,1600225763.0
ust-karsk,ru,52.7,118.81,61.23,100.0,41.0,5.59,1600225764.0
crossville,us,35.95,-85.03,69.8,20.0,83.0,1.77,1600225764.0
koslan,ru,63.46,48.9,45.79,100.0,90.0,11.03,1600225764.0
nizhnevartovsk,ru,60.93,76.55,51.8,0.0,71.0,13.42,1600225764.0
varhaug,no,58.61,5.65,54.0,97.0,99.0,7.0,1600225764.0
guipavas,fr,48.44,-4.4,57.2,90.0,100.0,5.82,1600225764.0
puerto del rosario,es,28.5,-13.86,73.4,100.0,88.0,18.34,1600225775.0
golden,ca,39.76,-105.22,75.2,40.0,16.0,8.05,1600225775.0
inhambane,mz,-23.86,35.38,73.49,81.0,85.0,8.03,1600225775.0
gamboma,cg,-1.88,15.86,73.15,99.0,89.0,4.85,1600225775.0
brownsville,us,25.9,-97.5,78.8,1.0,88.0,4.7,1600225649.0
talisayan,ph,6.99,121.93,80.6,90.0,78.0,5.82,1600225775.0
chaiyaphum,th,15.75,102.0,86.61,100.0,64.0,6.76,1600225776.0
kichera,ru,55.94,110.1,53.38,47.0,61.0,4.74,1600225776.0
port pirie,au,-33.18,138.02,76.17,100.0,28.0,13.22,1600225776.0
khlevnoye,ru,52.2,39.09,48.2,0.0,93.0,8.95,1600225776.0
zhezkazgan,kz,47.8,67.71,46.4,40.0,52.0,13.42,1600225776.0
karimpur,in,23.97,88.62,85.33,100.0,80.0,8.7,1600225777.0
ixtapa,mx,20.7,-105.2,84.2,75.0,83.0,4.7,1600225787.0
zeewolde,nl,52.33,5.48,66.99,17.0,92.0,1.03,1600225787.0
gornopravdinsk,ru,60.05,69.9,57.63,98.0,64.0,10.89,1600225787.0
kampene,cd,-3.6,26.67,67.37,0.0,96.0,1.63,1600225787.0
bouafle,ci,6.99,-5.74,72.07,98.0,96.0,3.04,1600225788.0
suihua,cn,46.64,127.0,57.15,100.0,93.0,17.67,1600225788.0
wuxue,cn,29.85,115.55,70.72,100.0,95.0,2.21,1600225788.0
quimperle,fr,47.87,-3.55,61.0,0.0,93.0,5.82,1600225788.0
sorland,no,67.67,12.69,48.15,100.0,80.0,26.84,1600225788.0
ola,ru,59.58,151.28,55.24,40.0,56.0,2.59,1600225789.0
porto belo,br,-27.16,-48.55,60.8,75.0,82.0,6.93,1600225789.0
dvinskoy,ru,62.15,45.12,44.24,92.0,88.0,9.69,1600225789.0
coquimbo,cl,-29.95,-71.34,53.6,90.0,76.0,3.36,1600225789.0
beringovskiy,ru,63.05,179.32,48.51,100.0,84.0,11.39,1600225789.0
carutapera,br,-1.2,-46.02,77.49,58.0,85.0,7.85,1600225790.0
isangel,vu,-19.55,169.27,82.4,75.0,61.0,11.41,1600225790.0
kwakoa,tz,-3.77,37.72,67.51,88.0,81.0,1.21,1600225790.0
asau,tv,46.43,26.4,54.0,0.0,92.0,2.21,1600225790.0
troitskoye,ru,52.98,84.68,63.68,92.0,46.0,11.81,1600225790.0
suifenhe,cn,44.4,131.17,59.02,100.0,84.0,5.97,1600225791.0
richards bay,za,-28.78,32.04,64.87,86.0,86.0,2.55,1600225791.0
koumac,nc,-20.57,164.28,76.87,64.0,58.0,8.66,1600225791.0
vardo,no,70.37,31.11,41.0,75.0,100.0,3.36,1600225516.0
trunovskoye,ru,45.49,42.14,59.0,0.0,62.0,4.47,1600225801.0
kamenka,ru,51.32,42.77,48.99,0.0,89.0,10.29,1600225802.0
brokopondo,sr,4.75,-55.17,77.0,100.0,88.0,4.25,1600225802.0
mount isa,au,-20.73,139.5,87.8,0.0,18.0,9.17,1600225802.0
vianopolis,br,-16.74,-48.52,64.0,0.0,31.0,6.04,1600225803.0
parana,ar,-31.73,-60.52,54.0,0.0,63.0,1.01,1600225765.0
eichenzell,de,50.49,9.7,57.99,74.0,94.0,0.87,1600225803.0
bilma,ne,18.69,12.92,88.36,0.0,28.0,6.17,1600225803.0
gao,ml,16.64,1.64,89.96,1.0,22.0,6.08,1600225804.0
bandarbeyla,so,9.49,50.81,79.16,45.0,70.0,21.97,1600225804.0
emerald,au,-23.53,148.17,80.6,40.0,44.0,14.99,1600225804.0
williams lake,ca,52.14,-122.14,55.4,40.0,82.0,3.36,1600225606.0
buala,sb,-8.14,159.59,84.88,57.0,74.0,10.49,1600225804.0
nova borova,ua,50.69,28.63,56.8,88.0,88.0,2.86,1600225805.0
sitka,us,57.05,-135.33,60.8,20.0,63.0,9.17,1600225805.0
krasnogorskiy,uz,54.6,61.23,46.38,100.0,89.0,22.08,1600225805.0
bodden town,ky,19.28,-81.25,84.0,79.0,84.0,1.99,1600225805.0
malindi,ke,-3.22,40.12,75.49,21.0,84.0,10.45,1600225806.0
ust-maya,ru,60.42,134.53,54.82,28.0,56.0,6.55,1600225806.0
kizukuri,jp,40.81,140.39,80.01,40.0,64.0,5.82,1600225806.0
sao joao da ponte,br,-15.93,-44.01,67.75,0.0,70.0,6.73,1600225806.0
khorixas,na,-20.37,14.97,43.07,0.0,68.0,3.87,1600225807.0
gilgit,pk,35.92,74.31,70.93,79.0,35.0,3.27,1600225807.0
genhe,cn,50.78,121.52,56.25,100.0,65.0,13.18,1600225807.0
haines junction,ca,60.75,-137.51,48.7,93.0,51.0,5.17,1600225817.0
tacuati,py,-23.45,-56.58,73.8,95.0,56.0,1.72,1600225818.0
davila,ph,18.47,120.58,87.8,75.0,70.0,4.7,1600225818.0
elbrus,ru,43.26,42.64,46.08,0.0,51.0,2.1,1600225828.0
ornskoldsvik,se,63.29,18.72,48.2,100.0,100.0,6.93,1600225828.0
qui nhon,vn,13.77,109.23,89.64,88.0,56.0,0.89,1600225537.0
saint-augustin,ca,51.23,-58.65,45.01,0.0,59.0,10.29,1600225829.0
omboue,ga,-1.57,9.26,73.44,27.0,88.0,6.29,1600225829.0
alice springs,au,-23.7,133.88,86.0,75.0,17.0,10.29,1600225762.0
bom jesus,br,-9.07,-44.36,74.84,0.0,45.0,5.32,1600225829.0
mandalgarh,in,25.2,75.1,83.68,0.0,64.0,6.08,1600225564.0
nizhnyaya salda,ru,58.08,60.72,48.27,100.0,93.0,15.64,1600225839.0
nanortalik,gl,60.14,-45.24,43.21,100.0,91.0,17.22,1600225840.0
nantong,cn,32.03,120.87,81.0,77.0,64.0,4.61,1600225840.0
general pico,ar,-35.66,-63.76,52.27,47.0,62.0,8.95,1600225840.0
cambridge,gb,43.36,-80.31,55.0,1.0,93.0,8.05,1600225559.0
mullingar,ie,53.53,-7.35,59.0,63.0,95.0,1.61,1600225840.0
dubbo,au,-32.25,148.62,75.2,0.0,47.0,18.34,1600225780.0
komsomolskiy,ru,40.43,71.72,71.6,0.0,30.0,6.93,1600225841.0
chirongui,yt,-12.93,45.15,75.2,20.0,83.0,6.93,1600225841.0
honiara,sb,-9.43,159.95,91.4,75.0,66.0,14.99,1600225841.0
bucerias,mx,20.75,-105.33,84.2,75.0,83.0,4.7,1600225851.0
bhind,in,26.56,78.79,90.54,48.0,60.0,4.9,1600225851.0
peniche,pt,39.36,-9.38,66.0,61.0,92.0,5.01,1600225852.0
mezen,ru,65.85,44.24,43.66,99.0,84.0,4.47,1600225852.0
rawson,ar,-43.3,-65.1,45.46,39.0,58.0,7.87,1600225852.0
belle fourche,us,44.67,-103.85,66.99,1.0,48.0,0.81,1600225750.0
teya,ru,60.38,92.63,56.39,100.0,63.0,8.77,1600225852.0
port lincoln,au,-34.73,135.87,68.16,99.0,48.0,6.29,1600225777.0
kyenjojo,ug,0.63,30.62,60.31,98.0,96.0,1.92,1600225853.0
lewisville,us,33.05,-96.99,82.0,5.0,65.0,4.7,1600225769.0
ratnagiri,in,16.98,73.3,79.56,98.0,85.0,6.58,1600225837.0
cayambe,ec,0.05,-78.13,51.8,75.0,93.0,3.36,1600225863.0
oistins,bb,13.07,-59.53,82.4,20.0,78.0,12.75,1600225863.0
auchi,ng,7.07,6.27,70.83,100.0,98.0,5.68,1600225863.0
sagaing,mm,21.88,95.98,87.8,75.0,66.0,8.05,1600225864.0
velizh,ru,55.61,31.2,54.05,100.0,97.0,2.91,1600225864.0
chake chake,tz,-5.25,39.77,72.52,100.0,86.0,5.26,1600225864.0
samarai,pg,-10.62,150.67,79.74,98.0,86.0,11.72,1600225864.0
kamaishi,jp,39.27,141.88,77.0,40.0,65.0,5.82,1600225864.0
zatoka,ua,46.07,30.47,64.4,0.0,77.0,4.47,1600225864.0
jamame,so,0.07,42.75,74.59,19.0,86.0,6.49,1600225865.0
dilla,et,6.41,38.31,63.14,100.0,73.0,3.11,1600225865.0
hobyo,so,5.35,48.53,77.02,5.0,83.0,19.86,1600225865.0
sohag,eg,26.56,31.69,78.8,0.0,39.0,6.93,1600225865.0
rabaul,pg,-4.2,152.17,80.69,93.0,77.0,17.63,1600225865.0
sabha,ly,27.04,14.43,75.11,0.0,44.0,10.63,1600225866.0
luganville,vu,-15.53,167.17,82.4,75.0,69.0,11.41,1600225866.0
foxton,nz,-40.47,175.3,57.99,3.0,68.0,11.01,1600225876.0
gwadar,pk,25.12,62.33,83.07,16.0,68.0,9.37,1600225876.0
okhotsk,ru,59.38,143.3,55.15,88.0,75.0,15.48,1600225876.0
raichur,in,16.2,77.37,76.69,100.0,86.0,14.07,1600225877.0
nemuro,jp,43.32,145.57,71.6,75.0,78.0,8.05,1600225877.0
purpe,ru,64.48,76.69,52.0,53.0,85.0,16.67,1600225877.0
barcelos,br,41.54,-8.62,64.0,59.0,93.0,4.7,1600225877.0
uddevalla,se,58.35,11.94,55.99,37.0,93.0,6.93,1600225877.0
maningrida,au,-12.07,134.27,87.82,66.0,46.0,12.93,1600225878.0
ouesso,cg,1.61,16.05,70.74,84.0,96.0,2.51,1600225878.0
duldurga,ru,50.68,113.59,57.09,91.0,58.0,10.83,1600225878.0
lufilufi,ws,-13.87,-171.6,89.6,75.0,66.0,14.99,1600225878.0
thurso,gb,58.59,-3.53,48.2,26.0,87.0,8.05,1600225888.0
sambava,mg,-14.27,50.17,67.28,2.0,80.0,10.76,1600225889.0
sarakhs,ir,36.54,61.16,68.0,0.0,45.0,4.7,1600225889.0
katherine,au,-14.47,132.27,91.4,85.0,22.0,9.17,1600225889.0
hueytown,us,33.45,-87.0,73.4,100.0,78.0,13.87,1600225889.0
sibu,my,2.3,111.82,80.6,20.0,83.0,5.82,1600225889.0
conde,br,-7.26,-34.91,73.4,20.0,94.0,5.82,1600225889.0
lakki marwat,pk,32.61,70.91,92.32,0.0,28.0,5.37,1600225689.0
suntar,ru,62.14,117.63,58.5,78.0,59.0,0.4,1600225910.0
zeya,ru,53.75,127.27,67.42,100.0,57.0,1.79,1600225910.0
unity,ca,52.45,-109.17,44.6,44.0,75.0,8.25,1600225911.0
